"inicio";"fin";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max"
"2013-04-09 14:20:00";"2013-04-09 14:30:00";;;;;;;;;;;;
"2013-04-09 14:30:00";"2013-04-09 14:40:00";;;;;;;;;;;;
"2013-04-09 14:40:00";"2013-04-09 14:50:00";;;;;;;;;;;;
"2013-04-09 14:50:00";"2013-04-09 15:00:00";;;;;;;;;;;;
"2013-04-09 15:00:00";"2013-04-09 15:10:00";;;;;;;;;;;;
"2013-04-09 15:10:00";"2013-04-09 15:20:00";;;;;;;;;;;;
"2013-04-09 15:20:00";"2013-04-09 15:30:00";;;;;;;;;;;;
"2013-04-09 15:30:00";"2013-04-09 15:40:00";74.4359;0.70873;73;76;24.34103;0.62047;23.2;25.3;20.77436;0.6213;19.8;21.9
"2013-04-09 15:40:00";"2013-04-09 15:50:00";76.65217;0.88998;75;78;24.19565;0.88119;22.8;25.5;20.98261;0.83778;19.8;22.2
"2013-04-09 15:50:00";"2013-04-09 16:00:00";82.10204;1.56811;78;84;21.72041;0.46378;21;22.7;19.42449;0.29934;18.9;19.9
"2013-04-09 16:00:00";"2013-04-09 16:10:00";81.63158;0.90091;80;84;23.25263;0.72247;22.1;24.4;20.80263;0.61237;20;21.9
"2013-04-09 16:10:00";"2013-04-09 16:20:00";78.92;0.84475;78;81;24.764;0.1597;24.4;25;21.868;0.14621;21.6;22.1
"2013-04-09 16:20:00";"2013-04-09 16:30:00";79.68966;1.23466;78;82;23.8931;0.5278;22.9;24.6;21.13448;0.37165;20.5;21.9
"2013-04-09 16:30:00";"2013-04-09 16:40:00";84.6;1.78139;82;87;22.25333;0.30739;21.7;22.8;20.30333;0.13034;20;20.5
"2013-04-09 16:40:00";"2013-04-09 16:50:00";88.14815;0.84782;86;89;21.41852;0.19633;21;21.7;19.94444;0.17285;19.6;20.2
"2013-04-09 16:50:00";"2013-04-09 17:00:00";89.58621;1.24616;88;92;20.3931;0.39821;19.7;21;19.14828;0.27117;18.7;19.7
"2013-04-09 17:00:00";"2013-04-09 17:10:00";92.65217;1.0471;91;94;19.05217;0.28722;18.7;19.6;18.22174;0.19551;18;18.7
"2013-04-09 17:10:00";"2013-04-09 17:20:00";95.04762;0.65292;94;96;18.70952;0.11086;18.5;18.9;18.18095;0.09571;18;18.4
"2013-04-09 17:20:00";"2013-04-09 17:30:00";98.88235;0.96298;97;100;17.92941;0.24438;17.6;18.4;17.81765;0.16886;17.5;18.1
"2013-04-09 17:30:00";"2013-04-09 17:40:00";100.125;0.33072;100;101;17.2875;0.22044;16.9;17.6;17.3625;0.17984;17;17.6
"2013-04-09 17:40:00";"2013-04-09 17:50:00";101.45455;0.98753;100;103;16.52727;0.20041;16.2;16.8;16.77273;0.12129;16.6;17
"2013-04-09 17:50:00";"2013-04-09 18:00:00";103.05263;0.68623;102;104;15.70526;0.27237;15.3;16.2;16.11579;0.25186;15.7;16.5
"2013-04-09 18:00:00";"2013-04-09 18:10:00";103.16667;0.68718;102;104;15.00833;0.1754;14.7;15.3;15.41667;0.15184;15.1;15.6
"2013-04-09 18:10:00";"2013-04-09 18:20:00";103.5;0.5;103;104;14.58889;0.14866;14.3;14.8;15.03889;0.15326;14.7;15.2
"2013-04-09 18:20:00";"2013-04-09 18:30:00";102.35714;1.10887;100;104;14.42857;0.14357;14.2;14.6;14.76429;0.0895;14.6;14.9
"2013-04-09 18:30:00";"2013-04-09 18:40:00";102.22222;0.62854;101;103;14.3;0.13333;14.1;14.5;14.62222;0.10304;14.5;14.8
"2013-04-09 18:40:00";"2013-04-09 18:50:00";101.45455;0.49793;101;102;14.02727;0.08624;13.9;14.2;14.27273;0.07497;14.2;14.4
"2013-04-09 18:50:00";"2013-04-09 19:00:00";102.63636;0.8814;101;104;13.55455;0.13048;13.4;13.8;13.9;0.13484;13.7;14.1
"2013-04-09 19:00:00";"2013-04-09 19:10:00";101.33333;0.4714;101;102;13.36667;0.04714;13.3;13.4;13.53333;0.04714;13.5;13.6
"2013-04-09 19:10:00";"2013-04-09 19:20:00";101.36364;0.64282;100;102;13.12727;0.07497;13;13.2;13.35455;0.06556;13.3;13.5
"2013-04-09 19:20:00";"2013-04-09 19:30:00";100.66667;0.62361;100;102;13.09167;0.06401;13;13.2;13.25;0.05;13.2;13.3
"2013-04-09 19:30:00";"2013-04-09 19:40:00";100.66667;0.4714;100;101;12.98333;0.03727;12.9;13;13.13333;0.04714;13.1;13.2
"2013-04-09 19:40:00";"2013-04-09 19:50:00";100.625;0.59948;100;102;13.03125;0.0583;12.9;13.1;13.2;0.06124;13.1;13.3
"2013-04-09 19:50:00";"2013-04-09 20:00:00";100.33333;0.4714;100;101;13.02222;0.09162;12.9;13.2;13.14444;0.04969;13.1;13.2
"2013-04-09 20:00:00";"2013-04-09 20:10:00";100.33333;0.4714;100;101;12.95556;0.08315;12.8;13.1;13.1;0.08165;13;13.2
"2013-04-09 20:10:00";"2013-04-09 20:20:00";100.55556;0.4969;100;101;12.9;0.06667;12.8;13;13.05556;0.06849;12.9;13.1
"2013-04-09 20:20:00";"2013-04-09 20:30:00";100.71429;1.16058;99;102;12.78571;0.06389;12.7;12.9;12.9;0;12.9;12.9
"2013-04-09 20:30:00";"2013-04-09 20:40:00";101.71429;0.69985;101;103;12.68571;0.0833;12.6;12.8;12.85714;0.07284;12.7;12.9
"2013-04-09 20:40:00";"2013-04-09 20:50:00";100.72727;0.74966;100;102;12.41818;0.11134;12.2;12.6;12.55455;0.08907;12.4;12.7
"2013-04-09 20:50:00";"2013-04-09 21:00:00";100.33333;0.62361;100;102;12.14167;0.07592;12;12.3;12.23333;0.10274;12.1;12.4
"2013-04-09 21:00:00";"2013-04-09 21:10:00";100.66667;0.66667;100;102;11.93333;0.09428;11.8;12.1;12.03333;0.06667;11.9;12.1
"2013-04-09 21:10:00";"2013-04-09 21:20:00";100.75;1.08972;99;102;11.725;0.0433;11.7;11.8;11.825;0.0433;11.8;11.9
"2013-04-09 21:20:00";"2013-04-09 21:30:00";100.5;1;99;102;11.65;0.1118;11.5;11.8;11.75;0.07071;11.6;11.8
"2013-04-09 21:30:00";"2013-04-09 21:40:00";99.8;0.74833;99;101;11.52;0.07483;11.4;11.6;11.6;0;11.6;11.6
"2013-04-09 21:40:00";"2013-04-09 21:50:00";100.61538;0.4865;100;101;11.48462;0.06617;11.4;11.6;11.58462;0.08635;11.5;11.7
